month,sip_inflow_crore,active_sip_accounts_crore,new_sip_accounts_lakh,sip_aum_lakh_crore,yoy_growth_pct,yoy_growth_pct_computed
2022-01-01,11517,4.91,9.1,4.8,,
2022-02-01,11438,4.93,8.2,4.85,,
2022-03-01,12328,5.09,10.5,5.01,,
2022-04-01,11863,5.48,9.52,5.12,,
2022-05-01,12286,5.55,8.1,5.15,,
2022-06-01,12276,5.6,7.5,5.18,,
2022-07-01,12140,5.65,9.21,5.25,,
2022-08-01,12694,5.71,8.9,5.31,,
2022-09-01,12976,5.8,9.4,5.41,,
2022-10-01,13040,5.93,9.52,5.55,,
2022-11-01,13306,6.0,8.8,5.62,,
2022-12-01,13573,6.05,7.6,5.7,,
2023-01-01,13856,6.13,9.1,5.82,20.31,20.30910827472432
2023-02-01,13687,6.19,8.2,5.88,19.66,19.6625284140584
2023-03-01,14276,6.32,10.0,6.01,15.8,15.801427644386767
2023-04-01,14749,6.41,9.25,6.15,24.33,24.32774171794656
2023-05-01,14749,6.5,8.7,6.22,20.05,20.047208204460354
2023-06-01,14734,6.55,7.9,6.3,20.02,20.02280873248614
2023-07-01,15245,6.65,9.8,6.45,25.58,25.576606260296543
2023-08-01,15814,6.73,9.1,6.58,24.58,24.578541043012446
2023-09-01,16042,6.82,10.2,6.72,23.63,23.628236744759555
2023-10-01,16928,6.91,9.5,6.9,29.82,29.815950920245406
2023-11-01,17073,7.0,8.8,7.05,28.31,28.31053660003007
2023-12-01,17610,7.1,8.4,7.18,29.74,29.74287187799307
2024-01-01,18838,7.2,9.6,7.35,35.96,35.9555427251732
2024-02-01,19187,7.3,8.5,7.52,40.18,40.18411631475123
2024-03-01,20371,7.4,9.0,7.71,42.69,42.69403194172037
2024-04-01,20371,7.6,9.4,7.9,38.12,38.117838497525256
2024-05-01,21262,7.78,8.9,8.15,44.16,44.158926028883315
2024-06-01,21262,7.9,8.2,8.35,44.31,44.30568752545134
2024-07-01,23332,8.0,10.0,8.56,53.05,53.04690062315514
2024-08-01,23547,8.11,9.8,8.78,48.9,48.899709118502585
2024-09-01,24509,8.22,9.2,8.98,52.78,52.7802019698292
2024-10-01,25323,8.3,9.55,9.22,49.59,49.59239130434783
2024-11-01,25320,8.4,9.1,9.45,48.3,48.304340186259
2024-12-01,26459,8.5,9.3,9.7,50.25,50.249858035207275
2025-01-01,26400,8.22,9.1,13.0,40.14,40.14226563329439
2025-02-01,25999,8.3,8.6,13.18,35.5,35.503205295251995
2025-03-01,25926,8.11,7.8,13.35,27.27,27.269157135143086
2025-04-01,26632,8.38,46.0,13.55,30.73,30.734868194983058
2025-05-01,26688,8.5,9.2,13.72,25.52,25.519706518671814
2025-06-01,27274,8.62,9.5,13.88,28.28,28.27579719687705
2025-07-01,28464,8.75,10.2,14.05,22.0,21.995542602434416
2025-08-01,28265,8.85,9.8,15.18,20.04,20.036522699282287
2025-09-01,29361,9.0,10.5,15.38,19.8,19.7968093353462
2025-10-01,29529,9.1,9.45,15.55,16.61,16.6094064684279
2025-11-01,30200,9.2,9.1,15.72,19.27,19.27330173775672
2025-12-01,31002,9.35,9.8,15.9,17.17,17.169961071847005
