amfi_code,scheme_name,fund_house,category,return_3yr_pct,sharpe_ratio,alpha,expense_ratio_pct,max_drawdown_pct,fund_score
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Flexi Cap,15.65,0.98,1.85,1.45,-19.5,71.75
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Small Cap,23.39,0.94,1.23,1.43,-13.35,70.625
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Liquid,7.68,7.68,1.85,0.74,-2.62,70.5
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Short Duration,7.37,1.84,1.98,0.56,-6.01,70.25
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Mid Cap,18.23,0.96,1.91,1.56,-21.92,68.25000000000001
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Small Cap,23.14,0.93,1.13,0.72,-24.78,68.0
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Large Cap,14.81,1.06,1.62,1.46,-17.07,66.68750000000001
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Small Cap,22.38,0.9,1.84,1.53,-23.61,65.0
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Liquid,6.18,6.18,1.52,0.6,-3.81,64.125
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Flexi Cap,15.34,0.96,1.79,1.64,-12.14,62.81249999999999
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Gilt,6.07,1.52,1.6,0.77,-2.3,60.5
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Mid Cap,18.08,0.95,0.89,1.36,-21.84,59.75
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Mid Cap,16.58,0.87,0.95,1.38,-13.67,55.00000000000001
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Liquid,5.14,5.14,1.18,0.79,-3.66,54.99999999999999
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Gilt,5.31,1.33,0.89,0.55,-2.23,54.125
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Large Cap,14.41,1.03,0.88,0.8,-26.59,53.87499999999999
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Large Cap,12.33,0.88,1.7,0.72,-18.14,53.625
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Large Cap,13.78,0.98,1.34,1.6,-15.07,52.81249999999999
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Large Cap,14.84,1.06,0.78,1.55,-17.41,52.0625
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Large Cap,14.0,1.0,0.86,1.51,-16.07,51.5625
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Large Cap,12.82,0.92,1.82,1.54,-21.7,50.81250000000001
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Small Cap,20.98,0.84,0.51,1.38,-14.45,50.375000000000014
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Value,14.76,0.98,0.55,1.41,-21.89,49.375
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Large & Mid Cap,14.56,0.91,1.7,1.52,-33.15,49.25
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Mid Cap,15.61,0.82,1.12,1.51,-13.43,49.12500000000001
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Large Cap,13.38,0.96,1.13,0.92,-33.5,48.62500000000001
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Large Cap,12.14,0.87,1.43,0.75,-17.4,48.12499999999999
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Index/ETF,11.77,0.91,1.8,0.89,-26.75,47.8125
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Mid Cap,17.16,0.9,1.02,1.61,-26.99,45.1875
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Mid Cap,15.18,0.8,1.42,1.38,-32.38,43.31250000000001
