amfi_code,hhi,num_sectors,scheme_name,fund_house
119092,2064.4766999999993,7,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund
101207,2007.0043,6,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF
119599,1747.5095999999999,7,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
102885,1747.0901999999999,8,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund
118632,1682.9820000000002,6,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF
148568,1679.2973,6,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF
120505,1575.7036000000003,7,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF
120506,1537.936,7,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF
125498,1524.1398000000002,6,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund
120841,1496.8035000000002,7,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF
148569,1493.9642000000001,7,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF
100033,1475.9225999999996,7,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund
149323,1416.2096000000001,7,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund
120503,1408.7026,7,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF
100016,1395.3386,8,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund
148567,1385.8416999999997,6,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF
125497,1365.8554000000001,7,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund
119094,1364.0591000000002,6,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund
118635,1359.4415000000001,6,Nippon India ETF Nifty 50 BeES,Nippon India MF
149322,1343.9797,7,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund
119093,1308.9424,8,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund
102887,1298.0494999999999,6,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund
101206,1293.3173000000002,7,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF
120843,1286.8306000000002,9,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF
120842,1274.3881,8,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF
118633,1214.6086,7,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF
119551,1187.1552,8,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund
149324,1186.7710000000002,9,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund
102886,1146.9284,10,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund
119095,1096.0535000000002,8,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund
120504,1086.7415,8,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF
118634,1083.5772,8,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF
119552,1080.1068999999998,7,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund
119598,1073.4895,7,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund
