amfi_code,var_95_daily_pct,cvar_95_daily_pct,scheme_name,fund_house,category
119599,-2.685943514961382,-3.238412245049218,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity
119095,-2.618842440959035,-3.166729360598028,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity
101207,-2.6021248221061066,-3.245905898704435,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity
118634,-2.543811145896311,-3.2304072697818533,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity
119598,-2.45070519056771,-3.0595264108802414,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
149324,-2.3483069386777156,-3.103625202188441,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity
102886,-1.922028344426503,-2.325086026922121,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity
100033,-1.9033535861558826,-2.3455762770703794,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity
120505,-1.889178619869274,-2.434207039551981,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity
119094,-1.8480276243938312,-2.426005947837057,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity
125498,-1.8365320169601018,-2.309379305316794,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity
120842,-1.8218530452556079,-2.2724975262680878,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity
149323,-1.7882076201903474,-2.2606642100420333,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity
148569,-1.7118192655621132,-2.1328305810328105,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity
102887,-1.5231617279157872,-1.9411182679158694,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity
148568,-1.4711531333512795,-1.876476958423089,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity
125497,-1.4591769071140461,-1.830988532805791,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity
120843,-1.4507941385630474,-1.8381077688017156,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity
149322,-1.447385198379274,-1.8401747612732604,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity
120506,-1.4388462899080912,-1.940489860249691,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity
100016,-1.4363639988111143,-1.806020763217176,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity
119093,-1.4225516634796054,-1.7486709749013059,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity
118632,-1.3954045870018117,-1.7618579320162155,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity
119092,-1.3749592076363815,-1.7327870956436058,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity
120504,-1.3728193295939772,-1.7494143685606607,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity
148567,-1.3559776417510558,-1.7622879905822204,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity
120503,-1.355001716250348,-1.745055416552432,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity
119552,-1.3500970479935082,-1.7335699664199813,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity
118633,-1.3442525143024242,-1.6630178254004826,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity
101206,-1.328166198628149,-1.7439425687129195,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity
120841,-1.3141782186804063,-1.636273661834337,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity
119551,-1.284622862884257,-1.639680693408763,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
102885,-1.261262882069356,-1.549040525311211,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity
118635,-1.2553697284754661,-1.617696049480912,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity
119120,-0.39382831218508046,-0.5013693153022244,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt
118636,-0.38041460689443474,-0.49189184204782943,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt
100025,-0.3793246199522682,-0.4993763020560281,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt
120844,-0.028479272823556095,-0.041099591933232454,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt
101208,-0.026865751304001574,-0.04220820655857681,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt
120507,-0.02215735138934464,-0.0372580399796496,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt
