company_id,year,cfo_sign,cfi_sign,cff_sign,capital_allocation_pattern,capital_allocation_label
ABB,2012-12,+,-,-,+--,Reinvestor / Shareholder Returns
ABB,2014-03,0,0,0,000,Other / Mixed Pattern
ABB,2015-03,-,-,+,--+,Heavy Investment Phase (external funded)
ABB,2016-03,+,-,-,+--,Reinvestor / Shareholder Returns
ABB,2017-03,+,-,-,+--,Reinvestor / Shareholder Returns
ABB,2018-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
ABB,2019-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
ABB,2020-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
ABB,2021-03,+,-,-,+--,Reinvestor / Shareholder Returns
ABB,2022-03,+,-,-,+--,Reinvestor / Shareholder Returns
ABB,2023-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
ABB,2024-03,+,-,-,+--,Reinvestor / Shareholder Returns
ADANIENSOL,2014-03,0,0,0,000,Other / Mixed Pattern
ADANIENSOL,2015-03,-,-,+,--+,Heavy Investment Phase (external funded)
ADANIENSOL,2016-03,+,-,-,+--,Reinvestor / Shareholder Returns
ADANIENSOL,2017-03,+,-,-,+--,Reinvestor / Shareholder Returns
ADANIENSOL,2018-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
ADANIENSOL,2019-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
ADANIENSOL,2020-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
ADANIENSOL,2021-03,+,-,-,+--,Reinvestor / Shareholder Returns
ADANIENSOL,2022-03,+,-,-,+--,Reinvestor / Shareholder Returns
ADANIENSOL,2023-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
ADANIENSOL,2024-03,+,-,-,+--,Reinvestor / Shareholder Returns
ADANIENT,2013-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
ADANIENT,2014-03,+,-,-,+--,Reinvestor / Shareholder Returns
ADANIENT,2015-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
ADANIENT,2016-03,+,-,-,+--,Reinvestor / Shareholder Returns
ADANIENT,2017-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
ADANIENT,2018-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
ADANIENT,2019-03,+,+,-,++-,Divesting & Returning Capital
ADANIENT,2020-03,+,-,-,+--,Reinvestor / Shareholder Returns
ADANIENT,2021-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
ADANIENT,2022-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
ADANIENT,2023-03,+,-,-,+--,Reinvestor / Shareholder Returns
ADANIENT,2024-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
ADANIGREEN,2017-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
ADANIGREEN,2018-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
ADANIGREEN,2019-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
ADANIGREEN,2020-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
ADANIGREEN,2021-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
ADANIGREEN,2022-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
ADANIGREEN,2023-03,+,-,-,+--,Reinvestor / Shareholder Returns
ADANIGREEN,2024-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
ADANIPORTS,2013-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
ADANIPORTS,2014-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
ADANIPORTS,2015-03,+,-,-,+--,Reinvestor / Shareholder Returns
ADANIPORTS,2016-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
ADANIPORTS,2017-03,+,-,-,+--,Reinvestor / Shareholder Returns
ADANIPORTS,2018-03,+,-,-,+--,Reinvestor / Shareholder Returns
ADANIPORTS,2019-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
ADANIPORTS,2020-03,+,-,-,+--,Reinvestor / Shareholder Returns
ADANIPORTS,2021-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
ADANIPORTS,2022-03,+,-,-,+--,Reinvestor / Shareholder Returns
ADANIPORTS,2023-03,+,-,-,+--,Reinvestor / Shareholder Returns
ADANIPORTS,2024-03,+,-,-,+--,Reinvestor / Shareholder Returns
ADANIPOWER,2013-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
ADANIPOWER,2014-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
ADANIPOWER,2015-03,+,-,-,+--,Reinvestor / Shareholder Returns
ADANIPOWER,2016-03,+,-,-,+--,Reinvestor / Shareholder Returns
ADANIPOWER,2017-03,+,-,-,+--,Reinvestor / Shareholder Returns
