,return_on_equity_pct,return_on_capital_pct,debt_to_equity,net_profit_margin_pct,revenue_cagr_5yr_pct,pat_cagr_5yr_pct,free_cash_flow_cr,pe_ratio,pb_ratio,composite_quality_score
return_on_equity_pct,1.0,0.75,-0.07,0.0,-0.05,0.08,0.0,0.01,-0.03,0.34
return_on_capital_pct,0.75,1.0,-0.11,-0.02,0.04,0.38,0.03,0.1,0.03,0.42
debt_to_equity,-0.07,-0.11,1.0,-0.03,0.31,0.42,-0.35,-0.27,-0.18,-0.56
net_profit_margin_pct,0.0,-0.02,-0.03,1.0,0.25,0.0,-0.02,-0.03,0.06,-0.05
revenue_cagr_5yr_pct,-0.05,0.04,0.31,0.25,1.0,0.39,-0.21,-0.09,-0.06,-0.19
pat_cagr_5yr_pct,0.08,0.38,0.42,0.0,0.39,1.0,-0.04,-0.01,-0.06,0.01
free_cash_flow_cr,0.0,0.03,-0.35,-0.02,-0.21,-0.04,1.0,0.13,-0.04,0.53
pe_ratio,0.01,0.1,-0.27,-0.03,-0.09,-0.01,0.13,1.0,-0.11,0.2
pb_ratio,-0.03,0.03,-0.18,0.06,-0.06,-0.06,-0.04,-0.11,1.0,0.09
composite_quality_score,0.34,0.42,-0.56,-0.05,-0.19,0.01,0.53,0.2,0.09,1.0
