peer_group_name,company_id,debt_to_equity,free_cash_flow_cr,net_profit_margin_pct,pat_cagr_5yr_pct,return_on_capital_pct,return_on_equity_pct,revenue_cagr_5yr_pct,n_top_quartile,n_bottom_quartile,best_in_class,watch_list
Automobiles,BAJAJ-AUTO,0.4285714285714286,0.8571428571428571,0.8571428571428571,0.3333333333333333,0.8571428571428571,0.8571428571428571,0.5714285714285714,4,0,False,False
Automobiles,EICHERMOT,0.7142857142857143,0.42857142857142855,1.0,0.6666666666666666,0.7142857142857143,0.5714285714285714,0.8571428571428571,2,0,False,False
Automobiles,HEROMOTOCO,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.16666666666666666,1.0,0.42857142857142855,0.14285714285714285,1,2,False,False
Automobiles,M&M,0.1428571428571429,0.14285714285714285,0.42857142857142855,0.8333333333333334,0.14285714285714285,0.2857142857142857,0.2857142857142857,1,3,False,True
Automobiles,MARUTI,0.8571428571428572,0.7142857142857143,0.5714285714285714,0.5,0.42857142857142855,0.14285714285714285,0.7142857142857143,1,1,False,False
Automobiles,TATAMOTORS,0.2857142857142857,1.0,0.2857142857142857,,0.5714285714285714,1.0,0.42857142857142855,2,0,False,False
Automobiles,TVSMOTOR,0.0,0.2857142857142857,0.14285714285714285,1.0,0.2857142857142857,0.7142857142857143,1.0,2,2,False,False
Consumer Finance,BAJFINANCE,0.6666666666666667,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,5,0,True,False
Consumer Finance,CHOLAFIN,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0,1,False,False
Consumer Finance,SHRIRAMFIN,0.33333333333333337,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,1,0,False,False
FMCG,BRITANNIA,0.0,0.7142857142857143,0.42857142857142855,0.6666666666666666,0.7142857142857143,0.8571428571428571,0.5714285714285714,1,1,False,False
FMCG,DABUR,0.4285714285714286,0.42857142857142855,0.5714285714285714,0.16666666666666666,0.42857142857142855,0.42857142857142855,0.2857142857142857,0,1,False,False
FMCG,GODREJCP,0.1428571428571429,0.14285714285714285,0.14285714285714285,,0.2857142857142857,0.14285714285714285,0.14285714285714285,0,5,False,True
FMCG,HINDUNILVR,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.5,0.8571428571428571,0.5714285714285714,0.7142857142857143,3,0,False,False
FMCG,ITC,0.8571428571428572,1.0,1.0,0.3333333333333333,0.5714285714285714,0.7142857142857143,0.42857142857142855,3,0,False,False
FMCG,NESTLEIND,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.8333333333333334,1.0,1.0,0.8571428571428571,4,0,False,False
FMCG,TATACONSUM,0.2857142857142857,0.2857142857142857,0.2857142857142857,1.0,0.14285714285714285,0.2857142857142857,1.0,2,1,False,False
IT Services,HCLTECH,0.8,0.6,0.6,0.6,0.6,0.6,0.6,1,0,False,False
