metric,P10,P25,P50,P75,P90,Mean,Std
return_on_equity_pct,8.36,11.61,16.27,26.08,48.39,125.07,640.62
return_on_capital_pct,3.45,7.92,13.76,27.21,114.57,164.49,700.17
debt_to_equity,0.01,0.05,0.44,1.62,6.46,1.68,2.88
net_profit_margin_pct,4.6,7.22,14.12,20.38,29.33,20.12,45.68
pe_ratio,15.56,29.83,45.76,59.53,70.1,43.81,20.21
pb_ratio,3.16,4.51,7.66,10.12,12.4,7.56,3.64
revenue_cagr_5yr_pct,6.33,8.4,11.84,17.12,21.01,12.91,7.38
pat_cagr_5yr_pct,4.29,9.53,16.28,23.47,38.13,20.41,20.64
free_cash_flow_cr,-14847.2,-1340.0,1095.0,8164.0,20818.1,709.48,23312.37
composite_quality_score,18.54,30.32,40.5,55.15,69.2,42.87,21.25
