company_id,company_name,broad_sector,pe_ratio,sector_median_pe,valuation_flag
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,Consumer Discretionary,60.44,38.01,Caution (overvalued)
ITC,ITC Ltd,Consumer Staples,47.85,50.95,Neutral
HINDUNILVR,Hindustan Unilever Ltd,Consumer Staples,34.51,50.95,Discount (undervalued)
ADANIPORTS,Adani Ports & Special Economic Zone Ltd,Industrials,48.9,47.16,Neutral
INFY,Infosys Ltd,Information Technology,35.99,63.63,Discount (undervalued)
INDUSINDBK,IndusInd Bank Ltd,Financials,8.99,33.57,Discount (undervalued)
HCLTECH,HCL Technologies Ltd,Information Technology,63.63,63.63,Neutral
TRENT,Trent Ltd,Consumer Discretionary,8.65,38.01,Discount (undervalued)
ICICIBANK,ICICI Bank Ltd,Financials,25.76,33.57,Neutral
LODHA,Macrotech Developers Ltd,Real Estate,51.95,49.1,Neutral
JINDALSTEL,Jindal Steel & Power Ltd,Materials,77.64,55.62,Neutral
LT,Larsen & Toubro Ltd,Industrials,30.8,47.16,Discount (undervalued)
IRFC,Indian Railway Finance Corporation Ltd,Financials,9.81,33.57,Discount (undervalued)
TITAN,Titan Company Ltd,Consumer Discretionary,10.13,38.01,Discount (undervalued)
IOC,Indian Oil Corporation,Energy,28.61,44.57,Discount (undervalued)
LICI,Life Insurance Corporation of India,Financials,30.67,33.57,Neutral
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,Financials,20.83,33.57,Discount (undervalued)
HDFCBANK,HDFC Bank Ltd,Financials,49.42,33.57,Neutral
JIOFIN,Jio Financial Services Ltd,Financials,34.24,33.57,Neutral
KOTAKBANK,Kotak Mahindra Bank Ltd,Financials,32.9,33.57,Neutral
ADANIGREEN,Adani Green Energy Ltd,Energy,45.26,44.57,Neutral
HINDALCO,Hindalco Industries Ltd,Materials,56.45,55.62,Neutral
ICICIGI,ICICI Lombard General Insurance Company Ltd,Financials,49.0,33.57,Neutral
ADANIENT,Adani Enterprises Ltd,Industrials,58.87,47.16,Neutral
JSWENERGY,JSW Energy Ltd,Energy,24.79,44.57,Discount (undervalued)
HDFCLIFE,HDFC Life Insurance Company Ltd,Financials,50.59,33.57,Caution (overvalued)
JSWSTEEL,JSW Steel Ltd,Materials,69.27,55.62,Neutral
HEROMOTOCO,Hero MotoCorp Ltd,Consumer Discretionary,53.86,38.01,Neutral
TVSMOTOR,TVS Motor Company Ltd,Consumer Discretionary,46.1,38.01,Neutral
ABB,Abbott India Ltd,Industrials,75.58,47.16,Caution (overvalued)
TORNTPHARM,Torrent Pharmaceuticals Ltd,Healthcare,46.4,47.06,Neutral
ADANIENSOL,Adani Energy Solutions Ltd,Energy,58.5,44.57,Neutral
SHRIRAMFIN,Shriram Finance Ltd,Financials,68.53,33.57,Caution (overvalued)
HAL,Hindustan Aeronautics Ltd,Industrials,71.89,47.16,Caution (overvalued)
